"ResourceType","SingularDisplayName","PluralDisplayName","LowerSingularDisplayName","LowerPluralDisplayName","IsPreview","Description","Icon","Links"
"microsoft.migrate/assessmentprojects/projectsummary","Microsoft.Migrate assessment projects project summary","Microsoft.Migrate assessment projects project summary","microsoft.migrate assessment projects project summary","microsoft.migrate assessment projects project summary","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/projectsummary.svg",""
"microsoft.migrate/assessmentprojects/servercollectors","Microsoft.Migrate assessment projects servercollector","Microsoft.Migrate assessment projects servercollectors","microsoft.migrate assessment projects servercollector","microsoft.migrate assessment projects servercollectors","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/servercollectors.svg",""
"microsoft.migrate/assessmentprojects/sqlassessmentoptions","Microsoft.Migrate assessment projects sql assessment option","Microsoft.Migrate assessment projects sql assessment options","microsoft.migrate assessment projects sql assessment option","microsoft.migrate assessment projects sql assessment options","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/sqlassessmentoptions.svg",""
"microsoft.migrate/assessmentprojects/sqlassessments","Microsoft.Migrate assessment projects sql assessment","Microsoft.Migrate assessment projects sql assessments","microsoft.migrate assessment projects sql assessment","microsoft.migrate assessment projects sql assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/sqlassessments.svg",""
"microsoft.migrate/assessmentprojects/sqlassessments/assessedsqldatabases","Microsoft.Migrate assessment projects sql assessments assessed sql database","Microsoft.Migrate assessment projects sql assessments assessed sql databases","microsoft.migrate assessment projects sql assessments assessed sql database","microsoft.migrate assessment projects sql assessments assessed sql databases","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/sqlassessments/assessedsqldatabases.svg",""
"microsoft.migrate/assessmentprojects/sqlassessments/assessedsqlinstances","Microsoft.Migrate assessment projects sql assessments assessed sql instance","Microsoft.Migrate assessment projects sql assessments assessed sql instances","microsoft.migrate assessment projects sql assessments assessed sql instance","microsoft.migrate assessment projects sql assessments assessed sql instances","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/sqlassessments/assessedsqlinstances.svg",""
"microsoft.migrate/assessmentprojects/sqlassessments/assessedsqlmachines","Microsoft.Migrate assessment projects sql assessments assessed sql machine","Microsoft.Migrate assessment projects sql assessments assessed sql machines","microsoft.migrate assessment projects sql assessments assessed sql machine","microsoft.migrate assessment projects sql assessments assessed sql machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/sqlassessments/assessedsqlmachines.svg",""
"microsoft.migrate/assessmentprojects/sqlassessments/summaries","Microsoft.Migrate assessment projects sql assessments summary","Microsoft.Migrate assessment projects sql assessments summaries","microsoft.migrate assessment projects sql assessments summary","microsoft.migrate assessment projects sql assessments summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/sqlassessments/summaries.svg",""
"microsoft.migrate/assessmentprojects/sqlcollectors","Microsoft.Migrate assessment projects sqlcollector","Microsoft.Migrate assessment projects sqlcollectors","microsoft.migrate assessment projects sqlcollector","microsoft.migrate assessment projects sqlcollectors","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/sqlcollectors.svg",""
"microsoft.migrate/assessmentprojects/vmwarecollectors","Microsoft.Migrate assessment projects vmwarecollector","Microsoft.Migrate assessment projects vmwarecollectors","microsoft.migrate assessment projects vmwarecollector","microsoft.migrate assessment projects vmwarecollectors","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/vmwarecollectors.svg",""
"microsoft.migrate/assessmentprojects/webappassessmentoptions","Microsoft.Migrate assessment projects web app assessment option","Microsoft.Migrate assessment projects web app assessment options","microsoft.migrate assessment projects web app assessment option","microsoft.migrate assessment projects web app assessment options","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/webappassessmentoptions.svg",""
"microsoft.migrate/assessmentprojects/webappassessments","Microsoft.Migrate assessment projects web app assessment","Microsoft.Migrate assessment projects web app assessments","microsoft.migrate assessment projects web app assessment","microsoft.migrate assessment projects web app assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/webappassessments.svg",""
"microsoft.migrate/assessmentprojects/webappassessments/assessedwebapps","Microsoft.Migrate assessment projects web app assessments assessed web app","Microsoft.Migrate assessment projects web app assessments assessed web apps","microsoft.migrate assessment projects web app assessments assessed web app","microsoft.migrate assessment projects web app assessments assessed web apps","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/webappassessments/assessedwebapps.svg",""
"microsoft.migrate/assessmentprojects/webappassessments/summaries","Microsoft.Migrate assessment projects web app assessments summary","Microsoft.Migrate assessment projects web app assessments summaries","microsoft.migrate assessment projects web app assessments summary","microsoft.migrate assessment projects web app assessments summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/webappassessments/summaries.svg",""
"microsoft.migrate/assessmentprojects/webappassessments/webappserviceplans","Microsoft.Migrate assessment projects web app assessments web app service plan","Microsoft.Migrate assessment projects web app assessments web app service plans","microsoft.migrate assessment projects web app assessments web app service plan","microsoft.migrate assessment projects web app assessments web app service plans","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/webappassessments/webappserviceplans.svg",""
"microsoft.migrate/assessmentprojects/webappcollectors","Microsoft.Migrate assessment projects web app collector","Microsoft.Migrate assessment projects web app collectors","microsoft.migrate assessment projects web app collector","microsoft.migrate assessment projects web app collectors","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/webappcollectors.svg",""
"microsoft.migrate/assessmentprojects/webappcompoundassessments","Microsoft.Migrate assessment projects web app compound assessment","Microsoft.Migrate assessment projects web app compound assessments","microsoft.migrate assessment projects web app compound assessment","microsoft.migrate assessment projects web app compound assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/webappcompoundassessments.svg",""
"microsoft.migrate/assessmentprojects/webappcompoundassessments/summaries","Microsoft.Migrate assessment projects web app compound assessments summary","Microsoft.Migrate assessment projects web app compound assessments summaries","microsoft.migrate assessment projects web app compound assessments summary","microsoft.migrate assessment projects web app compound assessments summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/webappcompoundassessments/summaries.svg",""
"microsoft.migrate/migrateprojects","Microsoft.Migrate migrate project","Microsoft.Migrate migrate projects","microsoft.migrate migrate project","microsoft.migrate migrate projects","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/migrateprojects.svg",""
"microsoft.migrate/migrateprojects/databaseinstances","Microsoft.Migrate migrate projects database instance","Microsoft.Migrate migrate projects database instances","microsoft.migrate migrate projects database instance","microsoft.migrate migrate projects database instances","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/migrateprojects/databaseinstances.svg",""
"microsoft.migrate/migrateprojects/databases","Microsoft.Migrate migrate projects database","Microsoft.Migrate migrate projects databases","microsoft.migrate migrate projects database","microsoft.migrate migrate projects databases","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/migrateprojects/databases.svg",""
